time,iteration,well_num,avg_h,avg_s,avg_v
1724926417.8282435,24,32,63.177083333333336,39.63194444444444,92.74652777777776
1724926417.8284068,24,42,66.37847222222223,34.23784722222222,90.68055555555556
1724926417.828559,24,43,66.55208333333333,36.81944444444444,82.875
1724926417.8287094,24,44,69.42708333333333,38.1875,90.37326388888889
1724926425.0279348,24,54,56.032986111111114,48.55902777777778,81.79340277777777
1724926425.028116,24,55,58.34027777777778,51.682291666666664,81.40277777777777
1724926425.028271,24,56,50.18055555555556,50.826388888888886,80.36458333333333
1724926425.0284214,24,66,85.25694444444444,64.8125,47.607638888888886
1724926425.028571,24,67,85.47916666666667,61.56597222222222,55.36631944444444
1724926425.02872,24,68,80.828125,51.01215277777778,49.626736111111114
1724926425.0288696,24,78,83.625,56.74131944444444,46.47743055555556
1724926425.02904,24,79,78.94618055555556,66.06944444444444,34.541666666666664
1724926425.0292232,24,80,82.74305555555556,61.473958333333336,32.44618055555556
1724926425.029377,24,90,94.75694444444444,81.51215277777777,50.5625
1724926425.0295238,24,91,88.77083333333333,70.14236111111111,33.296875
1724926425.0296695,24,92,86.35069444444444,69.22569444444444,31.8125
1724926431.1408706,24,9,87.875,46.333333333333336,118.92361111111111
1724926431.1411126,24,10,88.92013888888889,40.998263888888886,131.68576388888889
1724926431.141328,24,11,77.14409722222223,47.876736111111114,70.26736111111111
1724926431.1415372,24,21,66.65277777777777,35.454861111111114,114.81944444444444
1724926431.1417463,24,22,55.217013888888886,44.083333333333336,103.40625
1724926431.1419575,24,23,71.19618055555556,34.329861111111114,123.28819444444444
1724926431.1421645,24,33,65.34548611111111,38.08680555555556,104.82638888888889
1724926431.1423757,24,34,57.177083333333336,39.65277777777778,83.78125
1724926431.1425908,24,35,60.958333333333336,43.732638888888886,82.546875
1724926431.1427984,24,45,66.50173611111111,35.776041666666664,90.85590277777776
1724926431.1430082,24,46,60.28125,40.046875,80.89236111111111
1724926431.1432168,24,47,58.75694444444444,46.111111111111114,78.10243055555556
1724926437.4342475,24,57,53.795138888888886,51.057291666666664,79.33333333333333
1724926437.434427,24,58,58.861111111111114,49.776041666666664,80.60243055555556
1724926437.434583,24,59,54.17534722222222,51.072916666666664,76.05729166666667
1724926437.4347346,24,69,77.55902777777777,68.55034722222223,40.822916666666664
1724926437.4348814,24,70,80.6875,64.12847222222223,58.236111111111114
1724926437.435038,24,71,71.9375,54.03993055555556,41.63368055555556
1724926437.4351892,24,81,77.00694444444444,53.760416666666664,39.873263888888886
1724926437.4353356,24,82,81.51388888888889,81.07986111111111,36.44444444444444
1724926437.4354815,24,83,68.18576388888889,68.34722222222223,30.63888888888889
1724926437.4356327,24,93,91.37152777777776,67.05034722222223,46.81944444444444
1724926437.435779,24,94,83.43923611111111,79.0,29.164930555555557
1724926437.435949,24,95,82.23958333333333,81.26388888888889,32.236111111111114
1724926770.225066,25,0,91.02430555555556,43.171875,125.32465277777776
1724926770.225253,25,1,83.57291666666667,39.467013888888886,149.69444444444446
1724926770.225424,25,2,90.48263888888889,43.013888888888886,101.87847222222224
1724926770.225592,25,12,63.84027777777778,34.27256944444444,95.94791666666669
1724926770.2257657,25,13,69.82291666666667,36.34027777777778,111.171875
1724926770.2259552,25,14,73.49652777777777,36.28125,117.54861111111111
1724926770.2261257,25,24,75.58680555555556,32.666666666666664,91.24479166666669
1724926770.2262914,25,25,67.60069444444444,36.20659722222222,101.62152777777776
1724926770.2264583,25,26,76.28125,33.03993055555556,112.61631944444444
1724926770.2266226,25,36,66.82638888888889,29.60590277777778,91.21527777777776
1724926770.2267911,25,37,74.69791666666667,33.060763888888886,88.47048611111111
1724926770.2269542,25,38,64.76041666666667,33.486111111111114,89.16493055555556
1724926776.822091,25,48,78.21180555555556,36.203125,142.13194444444446
1724926776.8237731,25,49,75.44444444444444,35.35243055555556,134.86805555555554
1724926776.8239808,25,50,76.99305555555556,34.123263888888886,148.08333333333334
1724926776.82415,25,60,89.59722222222223,63.317708333333336,65.04513888888889
1724926776.8243322,25,61,84.46875,65.85763888888889,44.171875
1724926776.8244903,25,62,86.11631944444444,56.42534722222222,49.66493055555556
1724926776.8246443,25,72,88.78125,63.51909722222222,53.40277777777778
1724926776.8247936,25,73,79.17881944444444,55.56597222222222,36.03993055555556
1724926776.824947,25,74,88.71180555555556,53.298611111111114,37.35243055555556
1724926776.8250952,25,84,98.41319444444444,77.35763888888889,60.291666666666664
1724926776.8252454,25,85,89.02777777777777,68.05381944444444,37.94965277777778
1724926776.8254004,25,86,95.09722222222224,69.84895833333333,38.53125
1724926783.2052364,25,3,87.57465277777777,37.0625,143.91319444444446
1724926783.205468,25,4,87.67361111111111,41.49305555555556,139.34375
1724926783.2056782,25,5,89.55208333333333,43.942708333333336,113.56597222222224
1724926783.2058897,25,15,66.17708333333333,34.364583333333336,93.33159722222224
1724926783.2060974,25,16,69.44791666666667,33.657986111111114,113.13194444444444
1724926783.2063036,25,17,77.92881944444444,36.25868055555556,122.13368055555556
1724926783.2065148,25,27,67.02430555555556,33.34375,87.421875
1724926783.2067206,25,28,73.72048611111111,32.947916666666664,98.54513888888889
1724926783.2069285,25,29,67.93229166666667,37.092013888888886,97.85763888888889
1724926783.2071395,25,39,75.86284722222223,31.666666666666668,82.02083333333333
1724926783.2073507,25,40,69.01909722222223,32.734375,90.40277777777776
1724926783.207556,25,41,78.21875,36.77430555555556,89.78819444444444
1724926789.313763,25,51,75.21875,32.96527777777778,141.12152777777777
1724926789.313971,25,52,78.30208333333333,36.09027777777778,140.43576388888889
1724926789.3141284,25,53,78.56944444444444,35.78125,138.79513888888889
1724926789.3142755,25,63,90.59722222222224,54.96006944444444,57.31597222222222
1724926789.3144271,25,64,80.53645833333333,57.22743055555556,55.00347222222222
1724926789.3145735,25,65,84.06944444444444,57.645833333333336,49.895833333333336
1724926789.3147194,25,75,91.36979166666669,57.236111111111114,51.91319444444444
1724926789.3148625,25,76,85.46875,63.145833333333336,38.763888888888886
1724926789.315003,25,77,86.15972222222223,58.99652777777778,34.295138888888886
1724926789.3151464,25,87,97.14930555555556,72.54513888888889,59.020833333333336
1724926789.3152854,25,88,95.55208333333331,70.53993055555556,34.93055555555556
1724926789.3154273,25,89,91.10763888888889,69.89409722222223,36.654513888888886
1724926796.0644665,25,6,91.83333333333331,50.032986111111114,122.234375
1724926796.064715,25,7,92.20486111111111,49.09375,122.93576388888889
1724926796.064924,25,8,81.49652777777777,51.59375,54.93055555555556
1724926796.065136,25,18,70.78645833333333,38.03819444444444,100.55902777777776
1724926796.0653446,25,19,61.92881944444444,37.435763888888886,104.85243055555556
1724926796.0655546,25,20,65.83854166666667,33.328125,121.68055555555556
1724926796.0657735,25,30,68.84375,35.10243055555556,88.19791666666667
1724926796.0659888,25,31,64.66666666666667,34.84722222222222,87.03125
1724926796.066206,25,32,68.26736111111111,37.74131944444444,90.05034722222223
1724926796.0664124,25,42,66.81944444444444,35.05034722222222,89.90625
1724926796.0666208,25,43,68.38368055555556,38.53993055555556,81.47743055555556
1724926796.0668318,25,44,73.84375,38.751736111111114,88.703125
1724926802.3311691,25,54,60.00694444444444,46.786458333333336,81.04861111111111
1724926802.3313825,25,55,59.135416666666664,45.61805555555556,79.77777777777777
1724926802.3315585,25,56,58.09027777777778,50.072916666666664,77.49826388888889
1724926802.33173,25,66,83.33854166666667,52.498263888888886,46.01909722222222
1724926802.3318968,25,67,86.61458333333333,71.04340277777777,56.592013888888886
1724926802.3320525,25,68,85.27604166666667,61.55555555555556,48.08506944444444
1724926802.3322225,25,78,94.87326388888889,58.58680555555556,44.5
1724926802.332382,25,79,89.45486111111111,69.26215277777777,34.78472222222222
1724926802.332543,25,80,91.20486111111111,72.33333333333333,32.40972222222222
1724926802.3327007,25,90,99.046875,77.17013888888889,52.625
1724926802.3328598,25,91,88.77083333333333,73.75520833333333,32.329861111111114
1724926802.3330145,25,92,89.63888888888889,68.06944444444444,32.685763888888886
1724926809.0979652,25,9,89.84375,45.614583333333336,121.40277777777776
1724926809.0982034,25,10,89.18402777777777,43.05034722222222,131.51041666666666
1724926809.0983782,25,11,78.82465277777777,45.84375,73.03472222222223
1724926809.0985384,25,21,75.96180555555556,39.01215277777778,111.453125
1724926809.098693,25,22,57.60590277777778,39.54340277777778,99.88020833333331
1724926809.0988455,25,23,77.02430555555556,35.807291666666664,120.85763888888889
1724926809.0990057,25,33,73.01736111111111,37.46006944444444,101.62847222222224
1724926809.099178,25,34,59.951388888888886,42.05381944444444,80.85590277777777
1724926809.0993414,25,35,67.72916666666667,41.265625,79.97395833333333
1724926809.099506,25,45,76.51388888888889,40.260416666666664,89.20659722222223
1724926809.0996742,25,46,73.22569444444444,43.90625,78.30381944444444
1724926809.0998368,25,47,74.48958333333333,43.173611111111114,75.89930555555556
1724926814.5160558,25,57,58.62847222222222,45.28472222222222,77.11111111111111
1724926814.5163116,25,58,64.64236111111111,50.279513888888886,75.07465277777777
1724926814.5164874,25,59,53.838541666666664,48.578125,71.55208333333333
1724926814.5166657,25,69,77.11458333333333,57.50694444444444,45.661458333333336
1724926814.5168395,25,70,79.859375,61.032986111111114,58.77256944444444
1724926814.5170045,25,71,76.64409722222223,45.90972222222222,48.260416666666664
1724926814.5171697,25,81,85.05208333333333,49.795138888888886,44.798611111111114
1724926814.5173306,25,82,82.74652777777777,56.18402777777778,36.99305555555556
1724926814.5174968,25,83,81.51736111111111,57.607638888888886,35.609375
1724926814.5176778,25,93,95.47569444444444,80.96875,51.50694444444444
1724926814.5178514,25,94,85.67361111111111,81.68923611111111,31.071180555555557
1724926814.518015,25,95,87.25520833333333,69.91319444444444,34.135416666666664
1724927143.1990557,26,0,91.125,44.02430555555556,124.36111111111111
1724927143.1993656,26,1,84.43923611111111,35.49131944444444,150.65451388888889
